,covid,pcr,fiebre,perdida_olfato,antigenos
-10,-0.39763206166578796,-0.41794199152885125,0.19595673564388386,-0.032517904183890535,-0.174641834573908
-9,-0.35516324589099735,-0.3766304394981106,0.24914767746197486,-0.03832867762464417,-0.11537608352753598
-8,-0.24097422191868034,-0.2697648439345119,0.3547280881686867,-0.02540080679212315,0.007423322446060568
-7,-0.1754712200015145,-0.19557586354121906,0.4119114500499798,0.1522421390999614,0.06705890176704524
-6,-0.1679688217417012,-0.17744593421111274,0.4744568825557837,0.07687902822024015,0.08121118472020307
-5,-0.18576293026594545,-0.1628910794123868,0.5415223862419543,0.11770398295306653,0.11618399035999752
-4,-0.14300485958768844,-0.08361097974946298,0.5055058176831119,0.09910549209401039,0.1933497834758973
-3,-0.10048385170532573,-0.058062276164274486,0.5501513869681064,0.147287432760051,0.2331256538073959
-2,-0.02421484586982196,0.0019385724002676631,0.6131155549562649,0.1303774983439447,0.2553631136691283
-1,0.06238810554681699,0.09106917034148074,0.7301785963443823,0.2512470881495152,0.36325277624762103
0,0.16235734468864432,0.16851100467019062,0.7261444686112953,0.21432012700058858,0.4122973814408072
1,0.1060066730589827,0.14010687380262146,0.7862682993961191,0.21838014957423607,0.4054682317256855
2,0.1213356885248451,0.18448612152498287,0.7633465439449014,0.3651509516417792,0.40493597653339475
3,0.1496583520290915,0.21810208439766796,0.7151706373442296,0.40561971492989735,0.4600373161099015
4,0.19510095753744805,0.2635108904553046,0.6789286454124275,0.23301040836086265,0.5201642958870124
5,0.25924948930402536,0.3125945354429231,0.7101279763810329,0.21599994931188218,0.52936257662054
6,0.3839126651339541,0.4138744168185646,0.744388309591183,0.34571702746964555,0.5960336905258741
7,0.4654751868672248,0.47950739657564584,0.7460678513777023,0.3166287659583566,0.5955250248758369
8,0.37123568385562816,0.4527458324544346,0.7902615744715678,0.3782344427707422,0.5992587524711692
9,0.3920054189289604,0.476393450740389,0.7696815310642608,0.45296110877112283,0.5600837927984602
10,0.437224557856599,0.5223764788064886,0.6092192346671235,0.4282332309875699,0.6280069784486639
11,0.4577050123721981,0.5224120628259529,0.5434921948220663,0.45133826696833435,0.5935540185592846
12,0.52741670530465,0.5805298765730518,0.5051756151873185,0.2925156772588377,0.6779436519516651
13,0.6333624185766884,0.7003986716860183,0.5452833921503158,0.26772193018420554,0.6889342443297123
14,0.6807822074165939,0.7062201345934073,0.4703806613193968,0.23978520715253157,0.6648432034001073
15,0.5664748617930616,0.6479238306597623,0.508501013344054,0.27147829894787634,0.5640944828834978
16,0.5094072379503448,0.6176117391933454,0.39361022398014767,0.27527008037725625,0.505144131410392
17,0.4165939629813037,0.5690234339298563,0.29778920632017025,0.3051789833153038,0.47319556339246027
18,0.37520689409146946,0.4982044213631249,0.2021906024557494,0.1994222454333202,0.43623383410314986
19,0.4060159513836888,0.5084177201156591,0.15646749526359444,0.14707158640916637,0.4160462508431769
20,0.4930031630994464,0.5548278096265343,0.18373849670342843,0.24256237149304255,0.45845689103468734
21,0.5496955420895637,0.5741891055954212,0.0681881445926901,0.028678359769855007,0.44053873671654264
22,0.34588151647969173,0.363925982694664,0.04165175507203033,-0.1097528944514042,0.23599683129396878
23,0.3436626955965094,0.2785778350905708,-0.05618285457165249,-0.023025511673335202,0.14133168999001114
24,0.16703656110160323,0.15822097042668876,-0.13302416696658295,-0.05035071206951847,0.10807823029343254
