,covid,pcr,fever,no_smell
-7,0.18211951252464084,-0.057800036578198176,0.16371038251200107,-0.08522266229638122
-6,0.2703769598702614,0.04293142524391855,0.2422408249092189,-0.05560851859332275
-5,0.32149732502517925,0.11383956442524144,0.3135085447107964,0.0014961234095521184
-4,0.35101512487522235,0.15500658969310613,0.37132589574408026,0.07268478018622108
-3,0.3777567278698284,0.1917871422808958,0.4154631193478436,0.12220389852346504
-2,0.42218925832234744,0.2501797545018109,0.47362085594445114,0.17208526882516034
-1,0.488482911600356,0.3212464498098102,0.5416118910317652,0.15529461033489986
0,0.5786937656197079,0.4200092219366826,0.6093973188677239,0.20793179438532672
1,0.6697011470035878,0.5195064596809635,0.6813476287782374,0.24562199110291574
2,0.7145825898649957,0.5798523058819784,0.7313157753745793,0.2986930521401747
3,0.7254799495551991,0.5980235999239868,0.7529110081542386,0.3508295873809485
4,0.7239804181879745,0.6082156250020186,0.7707478473507079,0.3866617535905098
5,0.731895902390117,0.6342025819660175,0.7886101293743819,0.4022717451030431
6,0.7712526506710854,0.683032250487528,0.8214670565921345,0.42129608844168837
7,0.8301475728503324,0.7561837282246573,0.8680800882674281,0.45004707785032
8,0.8865757074785983,0.8335788372847265,0.8979015903074105,0.4708406823167638
9,0.8939245325658677,0.8684670117157091,0.9095423054944728,0.49132364103038184
10,0.8429594503664434,0.8516810426618906,0.8961260555041867,0.5085695836044631
11,0.7819701719375777,0.8133164598190021,0.8557210005137283,0.49232510176325084
12,0.734266635585073,0.7934285503280912,0.821923303176302,0.5126758744973534
13,0.7392632093033309,0.8037541892704424,0.8159573941970832,0.4799410475562547
14,0.7771690296685176,0.8280711422794176,0.8107200537355954,0.4288173917825369
15,0.8329278425193131,0.8650348861872839,0.8026908630870596,0.4132805930029895
16,0.8145277170121135,0.8485249931280266,0.7624905825878886,0.45524209718749514
17,0.7328280259976696,0.7651714781588108,0.6901168548318366,0.43819422571344846
18,0.626882007517689,0.658010682091358,0.6000780052716934,0.40491306673225824
19,0.5293361166342782,0.5688376778522685,0.5135710030734139,0.33291882602790285
20,0.45816209892574156,0.5064188433634083,0.4492117386692364,0.23569015806768998
21,0.43618838316345115,0.48940997717117163,0.42273975176214446,0.18585117887913113
22,0.4420494393334289,0.4995440283042004,0.38309030557622953,0.21138771947349683
23,0.38703996209508884,0.4522402032027681,0.3117745732332787,0.25758427150822416
24,0.2578555454594415,0.32166707701051045,0.19737252354135135,0.24191932472464556
