fecha,sum(num_casos),sum(num_hosp),sum(num_uci),sum(num_def)
2020-01-05,0,103,2,0
2020-01-12,2,43,2,0
2020-01-19,1,47,3,0
2020-01-26,1,56,2,0
2020-02-02,1,86,1,0
2020-02-09,1,89,5,0
2020-02-16,3,118,9,1
2020-02-23,4,222,19,0
2020-03-01,112,396,38,0
2020-03-08,1379,1588,152,24
2020-03-15,11363,6932,750,457
2020-03-22,36054,21745,2168,2432
2020-03-29,59463,31346,2845,5663
2020-04-05,44525,19567,1630,5841
2020-04-12,30707,11654,733,4766
2020-04-19,21327,6714,418,3576
2020-04-26,14636,3721,247,2386
2020-05-03,8120,2246,155,1551
2020-05-10,5658,1644,114,1069
2020-05-17,5352,799,49,612
2020-05-24,4413,479,49,452
2020-05-31,3823,429,38,339
2020-06-07,3041,388,32,240
2020-06-14,2359,284,24,160
2020-06-21,2205,240,22,113
2020-06-28,2352,243,30,57
2020-07-05,2811,239,21,48
2020-07-12,4877,301,26,29
2020-07-19,10237,491,28,21
2020-07-26,14527,688,45,50
2020-08-02,20324,1208,93,88
2020-08-09,28302,1663,139,147
2020-08-16,40126,2444,204,205
2020-08-23,52061,3330,302,307
2020-08-30,61073,4239,404,390
2020-09-06,65494,4725,466,509
2020-09-13,74071,5419,459,672
2020-09-20,80806,5769,561,822
2020-09-27,72479,5665,513,875
2020-10-04,65129,5345,491,938
2020-10-11,77783,5652,488,940
2020-10-18,91150,6603,616,1042
2020-10-25,135296,8630,746,1375
2020-11-01,144886,9870,914,1788
2020-11-08,133360,10007,981,2294
2020-11-15,112067,9344,972,2339
2020-11-22,81224,7462,724,2179
2020-11-29,58543,5722,638,1867
2020-12-06,50707,4546,436,1522
2020-12-13,50682,4284,445,1356
2020-12-20,68390,4645,429,1144
2020-12-27,66176,4952,528,1164
2021-01-03,98946,6012,592,1285
2021-01-10,160575,8734,871,1566
2021-01-17,234079,13959,1325,2314
2021-01-24,244648,17568,1704,3383
2021-01-31,202065,16075,1583,3799
2021-02-07,130524,11774,1249,3298
2021-02-14,75674,7565,812,2452
2021-02-21,50381,4957,581,1681
2021-02-28,38934,3895,472,1308
2021-03-07,33689,3359,435,923
2021-03-14,32514,3190,350,714
2021-03-21,34088,3039,388,586
2021-03-28,42823,3440,458,529
2021-04-04,43342,3941,528,531
2021-04-11,60139,4680,612,562
2021-04-18,58913,5108,693,563
2021-04-25,57988,4952,703,524
2021-05-02,52879,4481,587,447
2021-05-09,41912,3554,515,457
2021-05-16,34696,2815,338,361
2021-05-23,32322,2216,322,253
2021-05-30,30791,2038,249,189
2021-06-06,28290,1760,216,208
2021-06-13,24346,1533,149,142
2021-06-20,23602,1193,122,128
2021-06-27,29774,1113,108,113
2021-07-04,78954,1374,130,89
2021-07-11,135325,2301,213,87
2021-07-18,176561,3972,368,162
2021-07-25,185738,5917,588,390
2021-08-01,157668,6042,653,553
2021-08-08,119242,5470,631,706
2021-08-15,90661,4694,506,800
2021-08-22,68443,3744,429,713
2021-08-29,51821,3084,371,637
2021-09-05,34184,2317,274,561
2021-09-12,23168,1685,196,436
2021-09-19,17803,1210,154,373
2021-09-26,14434,908,98,250
2021-10-03,12092,744,73,190
2021-10-10,10327,666,65,150
2021-10-17,10598,797,106,129
2021-10-24,12407,809,107,123
2021-10-31,13413,873,106,104
2021-11-07,16061,987,97,96
2021-11-14,25446,1263,145,161
2021-11-21,40620,1659,174,153
2021-11-28,59202,2194,264,193
2021-12-05,89849,2639,343,293
2021-12-12,115928,3128,396,353
2021-12-19,231208,3897,505,500
2021-12-26,490780,5188,534,578
2022-01-02,792881,7698,625,726
2022-01-09,891639,9629,711,1007
2022-01-16,956068,10592,705,1347
2022-01-23,847000,10213,650,1529
2022-01-30,625450,8660,557,1713
2022-02-06,383747,6831,425,1671
2022-02-13,244820,4970,280,1393
2022-02-20,158823,3694,205,933
2022-02-27,117910,2610,156,657
2022-03-06,111225,2296,120,520
2022-03-13,110548,2266,149,436
2022-03-20,118602,2419,112,367
2022-03-27,123330,2541,127,310
