fecha,sum(num_casos),sum(num_hosp),sum(num_uci),sum(num_def)
2020-01-01,0.0,8.0,0.0,0.0
2020-01-02,0.0,74.0,1.0,0.0
2020-01-03,0.0,8.0,1.0,0.0
2020-01-04,0.0,6.0,0.0,0.0
2020-01-05,0.0,7.0,0.0,0.0
2020-01-06,0.0,5.0,0.0,0.0
2020-01-07,0.0,7.0,1.0,0.0
2020-01-08,0.0,5.0,0.0,0.0
2020-01-09,1.0,8.0,0.0,0.0
2020-01-10,1.0,9.0,0.0,0.0
2020-01-11,0.0,3.0,1.0,0.0
2020-01-12,0.0,6.0,0.0,0.0
2020-01-13,0.0,8.0,0.0,0.0
2020-01-14,0.0,9.0,1.0,0.0
2020-01-15,0.0,10.0,1.0,0.0
2020-01-16,0.0,6.0,0.0,0.0
2020-01-17,0.0,4.0,0.0,0.0
2020-01-18,1.0,5.0,0.0,0.0
2020-01-19,0.0,5.0,1.0,0.0
2020-01-20,0.0,11.0,0.0,0.0
2020-01-21,1.0,12.0,1.0,0.0
2020-01-22,0.0,6.0,0.0,0.0
2020-01-23,0.0,8.0,0.0,0.0
2020-01-24,0.0,15.0,1.0,0.0
2020-01-25,0.0,1.0,0.0,0.0
2020-01-26,0.0,3.0,0.0,0.0
2020-01-27,0.0,8.0,0.0,0.0
2020-01-28,0.0,10.0,0.0,0.0
2020-01-29,0.0,16.0,0.0,0.0
2020-01-30,0.0,14.0,0.0,0.0
2020-01-31,1.0,14.0,0.0,0.0
2020-02-01,0.0,9.0,1.0,0.0
2020-02-02,0.0,15.0,0.0,0.0
2020-02-03,0.0,18.0,0.0,0.0
2020-02-04,0.0,13.0,0.0,0.0
2020-02-05,0.0,8.0,1.0,0.0
2020-02-06,0.0,18.0,1.0,0.0
2020-02-07,0.0,19.0,3.0,0.0
2020-02-08,0.0,6.0,0.0,0.0
2020-02-09,1.0,7.0,0.0,0.0
2020-02-10,0.0,17.0,2.0,0.0
2020-02-11,0.0,21.0,2.0,0.0
2020-02-12,3.0,19.0,0.0,0.0
2020-02-13,0.0,20.0,1.0,1.0
2020-02-14,0.0,16.0,0.0,0.0
2020-02-15,0.0,12.0,3.0,0.0
2020-02-16,0.0,13.0,1.0,0.0
2020-02-17,0.0,26.0,3.0,0.0
2020-02-18,0.0,28.0,1.0,0.0
2020-02-19,0.0,38.0,3.0,0.0
2020-02-20,0.0,40.0,1.0,0.0
2020-02-21,1.0,39.0,2.0,0.0
2020-02-22,1.0,28.0,3.0,0.0
2020-02-23,2.0,23.0,6.0,0.0
2020-02-24,2.0,46.0,5.0,0.0
2020-02-25,1.0,47.0,7.0,0.0
2020-02-26,7.0,61.0,4.0,0.0
2020-02-27,23.0,61.0,4.0,0.0
2020-02-28,23.0,63.0,8.0,0.0
2020-02-29,19.0,49.0,4.0,0.0
2020-03-01,37.0,69.0,6.0,0.0
2020-03-02,72.0,137.0,10.0,0.0
2020-03-03,85.0,159.0,17.0,1.0
2020-03-04,99.0,170.0,15.0,2.0
2020-03-05,190.0,240.0,25.0,1.0
2020-03-06,274.0,260.0,27.0,3.0
2020-03-07,290.0,292.0,24.0,3.0
2020-03-08,369.0,330.0,34.0,14.0
2020-03-09,651.0,559.0,47.0,17.0
2020-03-10,1036.0,691.0,69.0,28.0
2020-03-11,1346.0,884.0,85.0,35.0
2020-03-12,1811.0,1051.0,106.0,59.0
2020-03-13,2177.0,1141.0,147.0,79.0
2020-03-14,2032.0,1238.0,128.0,108.0
2020-03-15,2310.0,1368.0,168.0,131.0
2020-03-16,3263.0,2123.0,218.0,183.0
2020-03-17,4483.0,2430.0,250.0,191.0
2020-03-18,4786.0,3093.0,311.0,246.0
2020-03-19,5879.0,3352.0,336.0,322.0
2020-03-20,6527.0,3916.0,333.0,433.0
2020-03-21,5793.0,3494.0,340.0,506.0
2020-03-22,5323.0,3337.0,380.0,551.0
2020-03-23,8207.0,4938.0,448.0,686.0
2020-03-24,9724.0,5309.0,511.0,723.0
2020-03-25,10136.0,5209.0,465.0,824.0
2020-03-26,10113.0,5038.0,436.0,871.0
2020-03-27,9095.0,4805.0,373.0,909.0
2020-03-28,7096.0,3389.0,334.0,839.0
2020-03-29,5092.0,2658.0,278.0,811.0
2020-03-30,8007.0,3936.0,335.0,913.0
2020-03-31,7924.0,3346.0,300.0,899.0
2020-04-01,7055.0,3196.0,268.0,895.0
2020-04-02,6905.0,2855.0,215.0,858.0
2020-04-03,6819.0,2753.0,199.0,786.0
2020-04-04,4669.0,1957.0,161.0,740.0
2020-04-05,3146.0,1524.0,152.0,750.0
2020-04-06,5397.0,2260.0,150.0,766.0
2020-04-07,5323.0,2190.0,121.0,736.0
2020-04-08,5486.0,1986.0,134.0,749.0
2020-04-09,4610.0,1631.0,90.0,667.0
2020-04-10,4438.0,1456.0,88.0,676.0
2020-04-11,3074.0,1202.0,68.0,628.0
2020-04-12,2379.0,929.0,82.0,544.0
2020-04-13,3127.0,1182.0,88.0,587.0
2020-04-14,3993.0,1334.0,69.0,607.0
2020-04-15,3703.0,1035.0,74.0,552.0
2020-04-16,3415.0,1052.0,53.0,487.0
2020-04-17,3462.0,930.0,61.0,507.0
2020-04-18,2182.0,618.0,37.0,435.0
2020-04-19,1445.0,563.0,36.0,401.0
2020-04-20,2520.0,735.0,44.0,387.0
2020-04-21,2730.0,746.0,42.0,427.0
2020-04-22,2767.0,550.0,36.0,344.0
2020-04-23,2223.0,518.0,44.0,331.0
2020-04-24,2286.0,561.0,33.0,330.0
2020-04-25,1289.0,350.0,26.0,295.0
2020-04-26,821.0,261.0,22.0,272.0
2020-04-27,1653.0,481.0,30.0,258.0
2020-04-28,1737.0,398.0,34.0,259.0
2020-04-29,1484.0,349.0,24.0,236.0
2020-04-30,1438.0,367.0,23.0,223.0
2020-05-01,793.0,243.0,20.0,176.0
2020-05-02,566.0,213.0,11.0,202.0
2020-05-03,449.0,195.0,13.0,197.0
2020-05-04,1012.0,329.0,17.0,186.0
2020-05-05,980.0,292.0,16.0,183.0
2020-05-06,985.0,288.0,21.0,153.0
2020-05-07,955.0,254.0,21.0,166.0
2020-05-08,918.0,226.0,20.0,146.0
2020-05-09,491.0,139.0,6.0,125.0
2020-05-10,317.0,116.0,13.0,110.0
2020-05-11,1635.0,149.0,6.0,122.0
2020-05-12,737.0,151.0,5.0,114.0
2020-05-13,805.0,123.0,12.0,87.0
2020-05-14,783.0,119.0,7.0,87.0
2020-05-15,800.0,129.0,8.0,78.0
2020-05-16,348.0,67.0,4.0,63.0
2020-05-17,244.0,61.0,7.0,61.0
2020-05-18,629.0,89.0,14.0,72.0
2020-05-19,854.0,67.0,7.0,70.0
2020-05-20,754.0,75.0,5.0,56.0
2020-05-21,778.0,79.0,10.0,69.0
2020-05-22,826.0,77.0,7.0,71.0
2020-05-23,313.0,44.0,4.0,59.0
2020-05-24,259.0,48.0,2.0,55.0
2020-05-25,547.0,71.0,7.0,68.0
2020-05-26,737.0,69.0,4.0,54.0
2020-05-27,623.0,71.0,5.0,44.0
2020-05-28,661.0,68.0,3.0,45.0
2020-05-29,737.0,47.0,7.0,45.0
2020-05-30,336.0,65.0,5.0,43.0
2020-05-31,182.0,38.0,7.0,40.0
2020-06-01,364.0,46.0,1.0,34.0
2020-06-02,478.0,55.0,3.0,47.0
2020-06-03,609.0,82.0,9.0,39.0
2020-06-04,517.0,57.0,5.0,47.0
2020-06-05,653.0,66.0,6.0,24.0
2020-06-06,275.0,37.0,3.0,28.0
2020-06-07,145.0,45.0,5.0,21.0
2020-06-08,348.0,63.0,2.0,30.0
2020-06-09,455.0,54.0,1.0,14.0
2020-06-10,465.0,41.0,7.0,30.0
2020-06-11,385.0,30.0,6.0,23.0
2020-06-12,495.0,38.0,5.0,20.0
2020-06-13,125.0,26.0,2.0,23.0
2020-06-14,86.0,32.0,1.0,20.0
